Category_id,Category_des,City_ID
28,Alboraya,46013
29,Alcalà de Xivert-Alcossebre,12004
30,Alcoy,03009
31,Alfàs del Pi,03011
32,Alicante,03014
33,Altea,03018
34,Benicarló,12027
35,Benicàssim,12028
36,Benidorm,03031
37,Benissa,03041
38,Bocairent,46072
40,Burriana,12032
41,Calpe,03047
44,Castellón,46257
45,Cullera,46105
46,Denia,03063
47,El Campello,03050
48,El Castell de Guadalest,03075
49,Elche,03065
50,Finestrat,03069
51,Gandia,46131
52,Guardamar del Segura,03076
55,La Vila Joiosa,03139
56,Montanejos,12079
57,Morella,12080
59,Oliva,46181
60,Orihuela,03099
61,Oropesa del Mar,12085
62,Peñiscola,12089
63,Requena,46213
65,Sagunto,46220
66,Santa Pola,03121
67,Segorbe,12104
69,Teulada,03128
70,Torrevieja,03133
71,Valencia,46250
72,Vall de Pop,03029
73,Villena,03140
74,Jávea,03082
75,Vinaròs,12138
76,Xàtiva,46145
77,Torreblanca,12117
78,Malaga,29067
79,Sevilla,41091
80,Barcelona,08019
81,Madrid,28079
82,Torremolinos,29901
83,Calvià,07011
84,Sitges,08270
85,San Bartolomé de Tirajana,35019

