SUPPLY_SUBTYPE_KEY,SUPPLY_SUBTYPE_ID,SUPPLY_SUBTYPE_DES,LOAD_TIME
-3,*********,No Informado,2024-03-12T15:43:18+01:00
1,DORM,Dormitorio,2024-03-12T15:43:18+01:00
2,HOUSE,Casa,2024-03-12T15:43:18+01:00
3,VILLA,Villa,2024-03-12T15:43:18+01:00
4,CHALET,Chalet,2024-03-12T15:43:18+01:00
5,GUEST_HOUSE,Casa de invitados,2024-03-12T15:43:18+01:00
6,BUNGALOW,Bungalow,2024-03-12T15:43:18+01:00
7,CASTLE,Castillo,2024-03-12T15:43:18+01:00
8,GLAMPING,Glamping,2024-03-12T15:43:18+01:00
9,TOWNHOUSE,Casa adosada,2024-03-12T15:43:18+01:00
10,OTHER,Otros,2024-03-12T15:43:18+01:00
11,APARTMENT,Apartamento,2024-03-12T15:43:18+01:00
12,BED_&_BREAKFAST,Cama y desayuno,2024-03-12T15:43:18+01:00
13,BOAT,Barco,2024-03-12T15:43:18+01:00

