ACCOMMODATION_TYPE_KEY,ACCOMMODATION_TYPE_ID,LANGUAGE_KEY,ACCOMMODATION_TYPE_DES
-3,*********,1,No Informado
1,Hoteles,1,Hoteles
2,Hostales,1,Hostales
3,Pensiones,1,Pensiones
4,Apartamentos,1,Apartamentos
5,Campings,1,Campings
6,Rurales,1,Casas Rurales
7,Albergues,1,Albergues
8,Agencias,1,Agencias
9,Turismo,1,Turismo Activo
10,Estimación Otros,1,Estimación Otros
-3,*********,2,Not informed
1,Hoteles,2,Hotels
2,Hostales,2,Hostels
3,Pensiones,2,Pensions
4,Apartamentos,2,Apartments
5,Campings,2,Campsites
6,Rurales,2,Rural houses
7,Albergues,2,Hostels
8,Agencias,2,Agencies
9,Turismo,2,Active Turism
10,Estimated Other,2,Estimated Other
-3,*********,3,No informat
1,Hoteles,3,Hotels
2,Hostales,3,Hostals
3,Pensiones,3,Pensions
4,Apartamentos,3,Apartaments
5,Campings,3,Càmpings
6,Rurales,3,Cases Rurals
7,Albergues,3,Albergs
8,Agencias,3,Agències
9,Turismo,3,Turisme Actiu
10,Estimació Uns altres,3,Estimació Uns altres
