ID,LANGUAGE_KEY,RESIDENCIA_ORIGEN_DES,LOAD_TIME
**********,1,No informado,
8995,1,Melilla,
8997,1,Andalucía,
8998,1,Aragón,
8999,1,"Asturias, Principado de",
9000,1,"Balears, Illes",
9001,1,Canarias,
9002,1,Cantabria,
9003,1,Castilla y León,
9004,1,Castilla - La Mancha,
9005,1,Cataluña,
9006,1,Comunitat Valenciana,
9007,1,Extremadura,
9008,1,Galicia,
9009,1,"Madrid, Comunidad de",
9010,1,"Murcia, Región de",
9011,1,"Navarra, Comunidad Foral de",
9012,1,País Vasco,
9013,1,"Rioja, La",
9014,1,Ceuta y Melilla,
9015,1,Ceuta,
9946,1,UE28 sin España,
9947,1,África,
9948,1,América (sin EEUU),
9960,1,México,
9961,1,Canadá,
9962,1,Venezuela,
9963,1,Asia (sin Japón),
9964,1,Nueva Zelanda,
9965,1,América,
9966,1,Asia,
9975,1,Total,
9978,1,Alemania,
9979,1,Austria,
9980,1,Bélgica,
9981,1,Dinamarca,
9982,1,Finlandia,
9983,1,Francia,
9984,1,Grecia,
9985,1,Países Bajos,
9986,1,Irlanda,
9987,1,Italia,
9988,1,Luxemburgo,
9989,1,Portugal,
9990,1,Reino Unido,
9991,1,Suecia,
9993,1,Hungría,
9994,1,Islandia,
9995,1,Noruega,
9996,1,Polonia,
9997,1,República Checa,
9998,1,Suiza,
9999,1,Turquía,
10000,1,Rusia,
10001,1,Otros Países Europeos,
10003,1,Argentina,
10004,1,Brasil,
10005,1,Estados Unidos de América,
10006,1,Resto América,
10007,1,Japón,
10008,1,Australia,
10009,1,Otros Países,
10010,1,Resto UE,
10011,1,Resto del Mundo,
16420,1,Total,
16432,1,Europa menos UE28,
16473,1,Total Nacional,
19964,1,Residentes en España,
19965,1,Residentes en el Extranjero,
23259,1,Rumanía,
23265,1,República Eslovaca,
23272,1,Andorra,
23312,1,Marruecos,
23364,1,Colombia,
23365,1,Chile,
23374,1,Arabia Saudí,
23378,1,China,
23379,1,Emiratos Árabes Unidos,
23380,1,Filipinas,
23381,1,India,
23385,1,Israel,
23399,1,Corea,
292757,1,Taiwán,
298012,1,Países Nórdicos,
370030,1,Asia (sin Japón ni China),
370095,1,UE27_2020 sin España,
382495,1,Resto de América,
382515,1,Resto del mundo,
**********,2,Not informed,
8995,2,Melilla,
8997,2,Andalucía,
8998,2,Aragón,
8999,2,"Asturias, Principado de",
9000,2,"Balears, Illes",
9001,2,Canarias,
9002,2,Cantabria,
9003,2,Castilla y León,
9004,2,Castilla - La Mancha,
9005,2,Cataluña,
9006,2,Comunitat Valenciana,
9007,2,Extremadura,
9008,2,Galicia,
9009,2,"Madrid, Comunidad de",
9010,2,"Murcia, Región de",
9011,2,"Navarra, Comunidad Foral de",
9012,2,Basque Country,
9013,2,"Rioja, La",
9014,2,Ceuta and Melilla,
9015,2,Ceuta,
9946,2,EU28 without Spain,
9947,2,Africa,
9948,2,America (excluding USA),
9960,2,Mexico,
9961,2,Canada,
9962,2,Venezuela,
9963,2,Asia (excluding Japan),
9964,2,New Zealand,
9965,2,America,
9966,2,Asia,
9975,2,Total,
9978,2,Germany,
9979,2,Austria,
9980,2,Belgium,
9981,2,Denmark,
9982,2,Finland,
9983,2,France,
9984,2,Greece,
9985,2,Netherlands,
9986,2,Ireland,
9987,2,Italy,
9988,2,Luxembourg,
9989,2,Portugal,
9990,2,United Kingdom,
9991,2,Sweden,
9993,2,Hungary,
9994,2,Iceland,
9995,2,Norway,
9996,2,Poland,
9997,2,Czech Republic,
9998,2,Switzerland,
9999,2,Turkey,
10000,2,Russia,
10001,2,Other European Countries,
10003,2,Argentina,
10004,2,Brazil,
10005,2,United States of America,
10006,2,Rest of America,
10007,2,Japan,
10008,2,Australia,
10009,2,Other countries,
10010,2,Rest of EU,
10011,2,Rest of the World,
16420,2,Total,
16432,2,Europe minus EU28,
16473,2,National Total,
19964,2,Residents in Spain,
19965,2,Residents Abroad,
23259,2,Romania,
23265,2,Slovak Republic,
23272,2,Andorra,
23312,2,Morocco,
23364,2,Colombia,
23365,2,Chile,
23374,2,Saudi Arabia,
23378,2,China,
23379,2,United Arab Emirates,
23380,2,Philippines,
23381,2,India,
23385,2,Israel,
23399,2,Korea,
292757,2,Taiwan,
298012,2,Nordic countries,
370030,2,Asia (excluding Japan and China),
370095,2,EU27_2020 without Spain,
382495,2,Rest of America,
382515,2,Rest of the world,
**********,3,No informat,
8995,3,Melilla,
8997,3,Andalusia,
8998,3,Aragó,
8999,3,"Astúries, Principat de",
9000,3,"*Balears, *Illes",
9001,3,Canàries,
9002,3,Cantàbria,
9003,3,Castella i Lleó,
9004,3,Castella - La Manxa,
9005,3,Catalunya,
9006,3,Comunitat Valenciana,
9007,3,Extremadura,
9008,3,Galícia,
9009,3,"Madrid, Comunitat de",
9010,3,"Múrcia, Regió de",
9011,3,"Navarra, Comunitat Foral de",
9012,3,País Basc,
9013,3,"Rioja, La",
9014,3,Ceuta i Melilla,
9015,3,Ceuta,
9946,3,UE28 sense Espanya,
9947,3,Àfrica,
9948,3,Amèrica (sense els EUA),
9960,3,Mèxic,
9961,3,Canadà,
9962,3,Veneçuela,
9963,3,Àsia (sense el Japó),
9964,3,Nova Zelanda,
9965,3,Amèrica,
9966,3,Àsia,
9975,3,Total ,
9978,3,Alemanya,
9979,3,Àustria,
9980,3,Bèlgica,
9981,3,Dinamarca,
9982,3,Finlàndia,
9983,3,França,
9984,3,Grècia,
9985,3,Països Baixos,
9986,3,Irlanda,
9987,3,Itàlia,
9988,3,Luxemburg,
9989,3,Portugal,
9990,3,Regne Unit,
9991,3,Suècia,
9993,3,Hongria,
9994,3,Islàndia,
9995,3,Noruega,
9996,3,Polònia,
9997,3,República Txeca,
9998,3,Suïssa,
9999,3,Turquia,
10000,3,Rússia,
10001,3,Altres Països Europeus,
10003,3,Argentina,
10004,3,Brasil,
10005,3,Estats Units d'Amèrica,
10006,3,Resta Amèrica,
10007,3,Japó,
10008,3,Austràlia,
10009,3,Altres Països,
10010,3,Resta UE,
10011,3,Resta del Món,
16420,3,Total,
16432,3,Europa menys UE28,
16473,3,Total Nacional,
19964,3,Residents a Espanya,
19965,3,Residents a l'Estranger,
23259,3,Romania,
23265,3,República Eslovaca,
23272,3,Andorra,
23312,3,Marroc,
23364,3,Colòmbia,
23365,3,Xile,
23374,3,Aràbia Saudita,
23378,3,Xina,
23379,3,Unió dels Emirats Àrabs,
23380,3,Filipines,
23381,3,Índia,
23385,3,Israel,
23399,3,Corea,
292757,3,Taiwan,
298012,3,Països Nòrdics,
370030,3,Àsia (sense el Japó ni la Xina),
370095,3,UE27_2020 sense Espanya,
382495,3,Resta d'Amèrica,
382515,3,Resta del món,
