VISITOR_ORIGIN_KEY,LANGUAGE_KEY,VISITOR_ORIGIN_DES,VISITOR_ORIGIN_PARENT_DES,LOAD_TIME
-3,1,No Informado,No Informado,2025-01-21 18:05:26.532 +0100
1,1,Local,Nacionales,2025-01-21 18:05:26.532 +0100
2,1,NoLocal,Nacionales,2025-01-21 18:05:26.532 +0100
3,1,Extranjero,Extranjeros,2025-01-21 18:05:26.532 +0100
-3,2,Not Informed,Not Informed,2025-01-21 18:05:26.532 +0100
1,2,Local,National,2025-01-21 18:05:26.532 +0100
2,2,NotLocal,National,2025-01-21 18:05:26.532 +0100
3,2,Foreign,Foreign,2025-01-21 18:05:26.532 +0100
-3,3,No Informat,No Informat,2025-01-21 18:05:26.532 +0100
1,3,Local,Nacionals,2025-01-21 18:05:26.532 +0100
2,3,NoLocal,Nacionals,2025-01-21 18:05:26.532 +0100
3,3,Estranger,Estrangers,2025-01-21 18:05:26.532 +0100
