VISITOR_CATEGORY_KEY,VISITOR_CATEGORY_ID,ID_FRONTUR,VISITOR_CATEGORY_DES,LOAD_TIME
-3,*********,-2,No Informado,
1,En tránsito,-2,En tránsito,
2,Excursionista recurrente,-2,Excursionista recurrente,
3,Habitualmente presente,-2,Habitualmente presente,
4,Residente,-2,Residente,
5,Residente en tránsito,-2,Residente en tránsito,
6,Turista,2,Turista,
7,Excursionista,3,Excursionista,
8,Habitualmente presente en tránsito,-2,Habitualmente presente en tránsito,
9,Turista en tránsito,8,Turista en tránsito,
10,Total,-2,Todos los visitantes,
11,Excursionista en tránsito,4,Excursionista en tránsito,
