REGION_KEY,REGION_ID,REGION_INE_ID,REGION_DES,REGION_NORM_DES,REGION_EUROSTAT_ID,COUNTRY_KEY,ID_INE
-3,*****,**,No Informado,NO INFORMADO,**********,-3,-3
1,ES-AN,01,Andalucía,ANDALUCIA,ES61,64,8997
2,ES-AR,02,Aragón,ARAGON,ES24,64,8998
3,ES-AS,03,Asturias,ASTURIAS,ES12,64,8999
4,ES-IB,04,Islas Baleares,ISLAS BALEARES,ES53,64,9000
5,ES-CN,05,Canarias,CANARIAS,ES70,64,9001
6,ES-CB,06,Cantabria,CANTABRIA,ES13,64,9002
7,ES-CL,07,Castilla Y León,CASTILLA Y LEON,ES41,64,9003
8,ES-CM,08,Castilla La Mancha,CASTILLA LA MANCHA,ES42,64,9004
9,ES-CT,09,Cataluña,CATALUÑA,ES51,64,9005
10,ES-VC,10,Valencia,VALENCIA,ES52,64,9006
11,ES-EX,11,Extremadura,EXTREMADURA,ES43,64,9007
12,ES-GA,12,Galicia,GALICIA,ES11,64,9008
13,ES-MD,13,Madrid,MADRID,ES30,64,9009
14,ES-MC,14,Murcia,MURCIA,ES62,64,9010
15,ES-NC,15,Navarra,NAVARRA,ES22,64,9011
16,ES-PV,16,País Vasco,PAIS VASCO,ES21,64,9012
17,ES-RI,17,La Rioja,LA RIOJA,ES23,64,9013
18,ES-CE,18,Ceuta,CEUTA,ES63,64,9015
19,ES-ML,19,Melilla,MELILLA,ES64,64,8995
20,HR-01,**,Jadranska Hrvatska,JADRANSKA HRVATSKA,HR03,53,-2
21,GR-01,**,Attiki,ATTIKI,EL3,78,-2
22,GR-02,**,Ionia Nisia,IONIA NISIA,EL62,78,-2
23,GR-03,**,Peloponnisos,PELOPONNISOS,EL65,78,-2
24,PT-01,**,Algarve,ALGARVE,PT15,182,-2
25,PT-02,**,Lisboa,LISBOA,PT17,182,-2
26,ES-OC,**,Otras Comunidades,OTRAS COMUNIDADES,****,64,285494
27,ES-TC,**,Todas las Comunidades,TODAS LAS COMUNIDADES,****,64,16473
28,**,**,Residentes en España,RESIDENTES EN ESPAÑA,****,64,19964
29,**,**,Residentes en el Extranjero,RESIDENTES EN EL EXTRANJERO,****,266,19965
30,**,**,Ceuta y Melilla,CEUTA Y MELILLA,****,64,9014
98,**,98,Tránsito,TRANSITO,****,-2,-2
