ZONE_KEY,ZONE_ID,ZONE_DES,ZONE_TYPE_DES,Km2,LOAD_TIME
-3,*********,No Informado,*********,,
1,Adeje - Arona Municipio,Adeje - Arona Municipio,MUNICIPIO,185.098,
2,Alicante Centro,Alicante Centro,SUBZONA,1.762,
3,Alicante Municipio,Alicante Municipio,MUNICIPIO,149.589,
4,Alicante Provincia,Alicante Provincia,PROVINCIA,5652.112,
5,Benidorm Municipio,Benidorm Municipio,MUNICIPIO,28.078,
6,Calpe Municipio,Calpe Municipio,MUNICIPIO,21.465,
7,Calvia Municipio,Calvia Municipio,MUNICIPIO,139.65,
8,Castellon Municipio,Castellon Municipio,MUNICIPIO,92.223,
9,Castellon Provincia,Castellon Provincia,PROVINCIA,6463.502,
10,Elche,Elche,SUBZONA,285.341,
11,Gandia Municipio,Gandia Municipio,MUNICIPIO,44.733,
12,Malaga Centro,Malaga Centro,SUBZONA,2.331,
13,San Bartolome de Tirajana Municipio,San Bartolome de Tirajana Municipio,MUNICIPIO,325.988,
14,Sevilla Centro,Sevilla Centro,SUBZONA,5.223,
15,Sitges Municipio,Sitges Municipio,MUNICIPIO,26.845,
16,Torremolinos Municipio,Torremolinos Municipio,MUNICIPIO,12.603,
17,Torrevieja Municipio,Torrevieja Municipio,MUNICIPIO,69.734,
18,Valencia Centro,Valencia Centro,SUBZONA,4.415,
19,Valencia Comunidad Autonoma,Valencia Comunidad Autonoma,COMUNIDAD AUTÓNOMA,22708.023,
20,Valencia Municipio,Valencia Municipio,MUNICIPIO,119.934,
21,Valencia Playa,Valencia Playa,SUBZONA,58.279,
22,Valencia Provincia,Valencia Provincia,PROVINCIA,10559.445,
